Item No.,ONS Item Description ,Sort Field,S or Q,Seasonal months,Months,J,F,M,A,M,J,J,A,S,O,N,D,Label 1,Label 2,Label 3,Label 4,Label 5,Fixed Desc. Line 1,Fixed Desc. Line 2,Fixed Desc. Line 3,Fixed Desc. Line 4,Fixed Desc. Line 5,HELP line 1,HELP line 2,HELP line 3,HELP line 4,HELP line 5,HELP line 6,c1,c2,c3,c4,c5,n1,n2,n3,n4,n5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211815,Fresh double cream 284-300ml,2,,,111111111111,,,,,,,,,,,,,Brand/Variety,Weight/Quant,Other1,Other2,Other3,,,,,, Must be fresh double cream., Not long life or cream alternative e.g. Elmlea., Do not price flavoured cream.," Can price extra thick, but change=N"," State pot weight,change= N.", Try not to switch between own-label & branded (N),Other,Same or similar brand of same quality,,,,Other,"Change between branded/own-brand, or different quality brand",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211813,"Probiotic-style yoghurt drink, 65-120g bottle",2,,,111111111111,,,,,,,,,,,,,Brand/Variety,Weight/Quant,Other1,Other2,Other3,,,,,, State flavour.Change=C, Can price from a multipack, Product must display 'yoghurt'&'probiotic' on," packaging.Do not price Benacol,Danacol or Yakult",Actimel OK, Try not to switch between own-label & branded(N),Other,Same or similar brand of same quality,,,,Other,"Change between branded/own-brand, or different quality brand",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213,"F- COFFEE, TEA, HOT MILK DRINK",1,,,111111111111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211901,"Tea bags, per packet of 80, 250g",2,,,111111111111,,,,,,,,,,,,,Brand/Variety,Weight/Quant,Other1,Other2,Other3,,,,,, Shape of bag is unimportant - all comparable., Do not price fruit teas or decaffeinated tea, Price different brand of tea to the 240 pack., , Only price organic if representative of outlet., Try not to switch between own-label & branded (N).,Other,Same or similar brand of same quality,,,,Other,"Change between branded/own-brand, or different quality brand",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213001,"Coffee, ground, filter fine, per 227-250g",2,,,111111111111,,,,,,,,,,,,,Brand/Variety,Weight/Quant,Other1,Other2,Other3,,,,,, State weight. Change in weight = N., Must be for filter . State strength if quoted., State flavour e.g Columbian/Kenyan., Same item different flavour = C., Only price organic if representative of outlet., Try not to switch between own-label & branded (N).,Other,Same or similar brand of same quality,Same item different flavour,,,Other,"Change between branded/own-brand, or different quality brand",Change of strength,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213003,"Coffee, Instant, 100g jar",2,,,111111111111,,,,,,,,,,,,,Brand/Variety,Weight/Quant,Other1,Other2,Other3,,,,,, State powder or granules. Change between = N., Try not to change between speciality coffees, E.g cap Columbie & regular instant coffee (N)., , Only price organic if representative of outlet., Try not to switch between own-label & branded (N).,Other,Same or similar brand of same quality,,,,Other,"Change between branded/own-brand, or different quality brand",Change between powder & granules,Change between ordinary and speciality coffee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213005,"Hot chocolate drink, instant, 250-400g ",2,,,111111111111,,,,,,,,,,,,,Brand/Variety,Weight/Quant,Other1,Other2,Other3,,,,,," Must be in jar, tub/drum or pouch, change = N.", No individual sachets., Do not price cocoa.," Can be flavoured, change = C.",, Try not to switch between own-label & branded (N).,Other,Same or similar brand of same quality,Same item different flavour,,,Other,"Change between branded/own-brand, or different quality brand","Change between jar, tub/drum or pouch",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,F- SOFT DRINKS,1,,,111111111111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212001,"Fruit squash eg orange, 750mls - 1.5 litres",2,,,111111111111,,,,,,,,,,,,,Brand/Variety,Weight/Quant,Other1,Other2,Other3,,,,,, Price fruit squash which has to be diluted, with water., Same item different flavour = C., Do not price Hi Juice squash with 40-50% juice,Concentrated squash ok.+/-5% juice content=N, Try not to switch between own-label & branded (N).,Other,Same or similar brand of same quality,Same item different flavour,,,Other,"Change between branded/own-brand, or different quality brand",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212017,"Fizzy bottled drink, 500ml",2,,,111111111111,,,,,,,,,,,,,Brand/Variety,Weight/Quant,Other1,Other2,Other3,,,,,, State flavour. Change in flavour = C., State if original or diet.  Change = C., , , Only price organic if representative of outlet., Try not to switch between own-label & branded (N).,Other,Same or similar brand of same quality,Change between original & diet,Same item different flavour,,Other,"Change between branded/own-brand, or different quality brand",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212006,"Fruit juice-not orange, 1 litre carton eg apple",2,,,111111111111,,,,,,,,,,,,,Brand/Variety,Weight/Quant,Other1,Other2,Other3,,,,,," Must state PURE juice, not for diluting.", Can be long life or from chiller cabinet. Change=N, , Can price single from a multipack if necessary., Only price organic if representative of outlet., Try not to switch between own-label & branded (N).,Other,Same or similar brand of same quality,,,,Other,"Change between branded/own-brand, or different quality brand",Change between single & multipack,Change between long life & chilled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212008,"Lemonade, 2 litre bottle",2,,,111111111111,,,,,,,,,,,,,Brand/Variety,Weight/Quant,Other1,Other2,Other3,,,,,, State if original or diet.  Change = C., Must price 2 litre bottle not 2 X 1 litre., State glass or plastic bottle. Change between = N., Avoid budget range if possible., Do not price Sprite or 7-Up, Try not to switch between own-label & branded (N).,Other,Same or similar brand of same quality,Change between diet and original,,,Other,"Change between branded/own-brand, or different quality brand",Change between glass & plastic bottle is N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212020,Fruit drink bottle 4-8 pack 200-350ml egFruitshoot,2,,,111111111111,,,,,,,,,,,,,Brand/Variety,Weight/Quant,Pack Size,Other1,Other2,,,,,, Same brand change flavour = C., Change brand = N., Price Pack not single. Change of pack size = N, Do not price flavoured Spring Water or, 100% fruit juice, Try not to switch between own-label & branded (N),Other,Same or similar brand of same quality,Same item different flavour,,,Other,"Change between branded/own-brand, or different quality brand",Change of pack size,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212021,Bottle stil mineral water 500ml,2,,,111111111111,,,,,,,,,,,,,Brand/Variety,Weight/Quant,Other1,Other2,Other3,,,,,, State source country of water. Change  = C., Must not price sparkling., State glass or plastic bottle. Change between=N, Do not price flavoured water, , Try not to switch between own-label & branded (N),Other,Same or similar brand of same quality,Change in CoO,,,Other,"Change between branded/own-brand, or different quality brand",Change between glass or  plastic bottle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212010,"Mineral water, still 1.5-2 litres",2,,,111111111111,,,,,,,,,,,,,Brand/Variety,Weight/Quant,Other1,Other2,Other3,,,,,, State source country of water. Change  = C., Must not price sparkling., State glass or plastic bottle. Change between = N., , Only price organic if representative of outlet., Try not to switch between own-label & branded (N).,Other,Same or similar brand of same quality,Change in CoO,,,Other,"Change between branded/own-brand, or different quality brand",Change between glass or  plastic bottle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212011,"Cola flavoured drink, 2 litre bottle",2,,,111111111111,,,,,,,,,,,,,Brand/Variety,Weight/Quant,Other1,Other2,Other3,,,,,, Must be 2 litre bottle., State if original or diet.  Change = C., Must not be Vanilla or Lemon flavour., State glass or plastic bottle. Change between = N., Only price organic if representative of outlet., Try not to switch between own-label & branded (N).,Other,Same or similar brand of same quality,Change between diet & original,,,Other,"Change between branded/own-brand, or different quality brand",Change between glass or  plastic bottle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212015,"Fizzy energy drink eg Red Bull, Lucozade 250-500ml",2,,,111111111111,,,,,,,,,,,,,Brand/Variety,Weight/Quant,Other1,Other2,Other3,,,,,, Can be isotonic., State size. Change between sizes = N., State container. Change between types = N., , Only price organic if representative of outlet., ,Other,Same or similar brand of same quality,,,,Other,"Change between branded/own-brand, or different quality brand",Change in weight or size,Change in container,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212016,Fresh/chilled orange juice eg Tropicana (1 litre),2,,,111111111111,,,,,,,,,,,,,Brand/Variety,Weight/Quant,Other1,Other2,Other3,,,,,, State smooth or with bits., Do not price UHT (longlife) juice.," Must be pure juice, not for dilution with water.", Must be from chiller cabinet., Only price organic if representative of outlet., Try not to switch between own-label & branded (N).,Other,Same or similar brand of same quality,,,,Other,"Change between branded/own-brand, or different quality brand",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215,F- SWEETS & CONFECTIONERY,1,,,111111111111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210322,"KitKat, 4-finger bar",2,,,111111111111,,,,,,,,,,,,,Brand/Variety,Weight/Quant,Other1,Other2,Other3,,,,,," State variety; whether original, orange or dark.", Change between variety = C.," Can price from multipack up to 6, but check size.", Change between single/multipack = N., , ,Other,Same item different flavour,,,,Other,Change between single & multipack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212202,Original Polo Mints,2,,,111111111111,,,,,,,,,,,,,Brand/Variety,Weight/Quant,Other1,Other2,Other3,,,,,, Should be Original Polo Mints only., Can price 1 from multipack up to 6 if necessary., Change between single/multipack = N., , , ,Other,Same or similar brand of same quality,,,,Other,Change between single & multipack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212223,"Bag of sweets, branded chocolate 135 - 185g",2,,,111111111111,,,,,,,,,,,,,Brand/Variety,Weight/Quant,Other1,Other2,Other3,,,,,, Price branded hanging pouches eg Cadbury , Caramel Nibbles/Twirl Bites or Mars Galaxy , Minstrels.  ," Same manufacturer, different variety = C. ",Change manufacturer and variety = N., Weight change = N,Other,Same brand different variety,,,,Other,Change of brand and variety,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212211,"Mars Bar, 58g",2,,,111111111111,,,,,,,,,,,,,Brand/Variety,Weight/Quant,Other1,Other2,Other3,,,,,, Do not collect the dark chocolate, version called Mars Midnight.," Can price from multipack up to 6, but check size.", Change between single/multipack = N., , ,Other,Same or similar brand of same quality,,,,Other,Change between single & multipack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212214,Rowntrees Fruit Pastilles - tube,2,,,111111111111,,,,,,,,,,,,,Brand/Variety,Weight/Quant,Other1,Other2,Other3,,,,,," Can price from multipack up to 6, but check size.", Change between single/multipack = N., , , , ,Other,Same or similar brand of same quality,,,,Other,Change between single & multipack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212224,"Bag of sweets, not chocolate, 150 - 250g",2,,,111111111111,,,,,,,,,,,,,Brand/Variety,Weight/Quant,Other1,Other2,Other3,,,,,, Can be foam or jelly based such as Haribo.," Liquorice Allsorts, Fruit Gum, mint or similar", type all OK. Change brand/weight = N., Change type ie mint to jelly = N., Change within variety = C., Do not price popcorn,Other,Same brand different variety,,,,Other,Change of brand and variety,Change of weight,Change type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212217,"Chewing Gum/Bubble Gum, single pack.",2,,,111111111111,,,,,,,,,,,,,Brand/Variety,Weight/Quant,Other1,Other2,Other3,,,,,, State type and flavour under Variety.," Can price from multipack up to 6, but check size.", Change in size of multipack = N., Try not to switch between chewing/bubble gum (N)., State no of pieces in pack., Same item different flavour = C.,Other,Same or similar brand of same quality,Same item different flavour,,,Other,"Change between branded/own-brand, or different quality brand",Change in weight or size,Change between chewing & bubble gum,Change between single & multipack or size of pack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212218,"Carton/box of chocolates, 350-500gm",2,,,111111111111,,,,,,,,,,,,,Brand/Variety,Weight/Quant,Other1,Other2,Other3,,,,,, State weight. Switch between = (N)., State variety/type/contents., Record weight including wrappers, , Only price organic if representative of outlet., Try not to switch between own-label & branded (N).,Other,Same or similar brand of same quality,,,,Other,"Change between branded/own-brand, or different quality brand",Change in weight or size,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212219,Crunchie,2,,,111111111111,,,,,,,,,,,,,Brand/Variety,Weight/Quant,Other1,Other2,Other3,,,,,," Price original only, not limited edition versions."," Can price from multipack up to 6, but check size.", Change between single & multipack = N., , , ,Other,Same or similar brand of same quality,,,,Other,Change between single & multipack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212222,Cadburys Dairy Milk (45g bar),2,,,111111111111,,,,,,,,,,,,,Brand/Variety,Weight/Quant,Other1,Other2,Other3,,,,,, Must be 45gr bar only., , , , , ,Other,Same or similar brand of same quality,,,,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
216,F- FRESH POTATOES,1,,,111111111111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212309,"Potatoes, New, state loose/prepack, per Kg",2,,,111111111111,,,,,,,,,,,,,Brand/Variety,Weight/Quant,CoO,Class,Other,,,,,,Do not price baby varieties,New potatoes may have loose skins or smooth skins,Change loose to pre-pack = N,Only price Jersey Royals if no others available=N,Changes between classes or no class = N,changes between CoOs or no CoO = C,Other,Change in country of origin,Change to a comparable variety,,,Other,Change of class,Change to a non-comparable variety,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212310,"Potatoes, old white, state loose/prepack (per kg)",2,,,111111111111,,,,,,,,,,,,,Brand/Variety,Weight/Quant,CoO,Class,Packaging,,,,,,Ensure priced per kg and not per pack.,State whether loose/pre-packed.Record if no ,class or CoO.Change btwn pre-packed & loose=N,If pre-packed state pack size. Price per kg only.,Changes btwn classes or no class=N,changes btwn CoOs or no CoO=C.,Other,Change in country of origin,Change to a comparable variety,,,Other,Change of class,Change to a non-comparable variety,Change between loose and prepacked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212311,"Potatoes, baking state loose/prepack (per kg)",2,,,111111111111,,,,,,,,,,,,,Brand/Variety,Weight/Quant,CoO,Class,Packaging,,,,,,Ensure priced per kg and not per pack.,State whether loose or pre-packed.,Change between pre-packed & loose = N.,If pre-packed state pack size. Price per kg only,Changes between classes or no class=N,changes between CoOs or no CoO=C,Other,Change in country of origin,Change to a comparable variety,,,Other,Change of class,Change to a non-comparable variety,Change between loose and prepacked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
217,F- FRESH VEGETABLES,1,,,111111111111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212504,"Fresh Veg, Cauliflower, each",2,,,111111111111,,,,,,,,,,,,,Brand/Variety,Weight/Quant,CoO,Class,Other,,,,,,Do not price speciality or baby varieties,"Must state class, CoO & size eg small",If not displayed state No class or No CoO,Change between classes or class unknown=N,Change between CoOs or CoO unknown=C,Only price organic if representative of outlet,Other,Change in country of origin,,,,Other,Change of class,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212510,"Fresh Veg, Cucumber, whole",2,,,111111111111,,,,,,,,,,,,,Brand/Variety,Weight/Quant,CoO,Class,Other,,,,,,Only price whole cucumber not halves.,Must state class & CoO.,If not displayed state 'No class' or 'No CoO'.,Change between classes or class unknown=N,Change between CoOs or CoO unknown=C,Only price organic if representative of outlet.,Other,Change in country of origin,,,,Other,Change of class,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212511,"Fresh Veg, Lettuce, Iceberg, each",2,,,111111111111,,,,,,,,,,,,,Brand/Variety,Weight/Quant,CoO,Class,Other,,,,,,Only price Iceberg lettuce.,Must state class & CoO.,If not available state 'No class' or 'No CoO'.,Change between classes or class unknown=N,Change between CoOs or CoO unknown=C,Only price organic if representative of outlet.,Other,Change in country of origin,,,,Other,Change of class,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212515,"Fresh Veg, Tomatoes, per kg",2,,,111111111111,,,,,,,,,,,,,Brand/Variety,Weight/Quant,CoO,Class,Other,,,,,,Can price vine tomatoes change=N.Do not price,cherry tomatoes.State if loose/pre-packed,"change=N, state size.Change btwn classes or",no class=N.Change btwn CoOs or no CoO=C,Use Ipaq calculator to convert kg price,Only price organic if rep of outlet,Other,Change in country of origin,Change to a comparable variety,,,Other,Change of class,Change between loose and pre-packed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212516,"Fresh Veg, Cabbage, Whole,state each or per kg",2,,,111111111111,,,,,,,,,,,,,Brand/Variety,Weight/Quant,CoO,Class,Other,,,,,,Do not price red cabbage.,Switch between white/green & Savoy cabbage = N.,"Can be each or per kg, change = N",Change between classes or class unknown = N.,Change between CoOs or CoO unknown = C,Only price organic if representative of outlet.,Other,Change in country of origin,Change to a comparable variety,,,Other,Change of class,Change to a non-comparable variety,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
