Item No.,ONS Item Description ,Sort Field,S or Q,Seasonal months,Months,J,F,M,A,M,J,J,A,S,O,N,D,Label 1,Label 2,Label 3,Label 4,Label 5,Fixed Desc. Line 1,Fixed Desc. Line 2,Fixed Desc. Line 3,Fixed Desc. Line 4,Fixed Desc. Line 5,HELP line 1,HELP line 2,HELP line 3,HELP line 4,HELP line 5,HELP line 6,c1,c2,c3,c4,c5,n1,n2,n3,n4,n5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212808,"Dried fruit 100-250g pack, e.g. apricots",2,,,111111111111,,,,,,,,,,,,,Brand/Variety,Weight/Quant,Other1,Other2,Other3,,,,,,"Ideally snacking fruit. No chopped fruit, raisins, currents, dried apple rings, flakes, strings, crystallised",Change fruit type=C,Change pack size = N, ,, Try not to switch between own-label & branded (N).,Other,Same or similar brand of same quality,Change of fruit type,,,Other,"Change between branded/own-brand, or different quality brand",Change in pack size,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,F- CAKES PACKAGED,1,,,111111111111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210317,"Individual fruit pies, 6 pack",2,,,111111111111,,,,,,,,,,,,,Brand/Variety,Weight/Quant,Other1,Other2,Other3,,,,,," Must price 6-pack, if not available enter M.", Must not price 6 individual pies., Only price organic if representative of store.," Same brand, weight, but different flavour = C.", , Try not to switch between own-label & branded (N).,Other,Same or similar brand of same quality,"Same item, different flavour",,,Other,"Change between branded/own-brand, or different quality brand",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210320,"Whole sponge cake, not frozen, eg Victoria sponge",2,,,111111111111,,,,,,,,,,,,,Brand/Variety,Weight/Quant,Other1,Other2,Other3,,,,,, Must state sponge on pack/clearly be sponge," Any basic sponge OK, NOT Battenburg/Madeira etc"," Can be uncoated, filled swiss roll.", Must be a suitable size for 4-6 people, May be boxed or cello wrapped, Try not to switch between own-label & branded(N),Other,Same or similar brand of same quality,"Same item, different flavour",,,Other,"Change between branded/own-brand, or different quality brand",Change in weight or size,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210321,Pack of 5-6 individual cakes,2,,,111111111111,,,,,,,,,,,,,Brand/Variety,Weight/Quant,Other1,Other2,Other3,,,,,," May be wrapped or unwrapped, change between=N", Brand to brand=C, Brand to own brand=N, , Only price organic if representative of store, Try not to switch between own-label & branded(N),Other,Same or similar brand of same quality,,,,Other,"Change between branded/own-brand, or different quality brand",Change in weight or size,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,F- MEAT- BEEF & LAMB,1,,,111111111111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210403,"Home Killed Beef, lean mince, per kg",2,,,111111111111,,,,,,,,,,,,,Brand/Variety,Weight/Quant,Other1,Other2,Other3,,,,,, Home killed=any UK country inc. N.Ireland, Avoid organic if poss. Change = N," Ensure price entered is per kg, not per pack", State % fat content (if marked). Change=N, Do not price unweighted packs.," If prepacked state size, min weight OK.",Other,Change in UK region ,,,,Other,Change in pre-pack weight or size,Change between loose and prepacked,Change in fat %,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210406,"Home Killed Beef,Rump Steak/popes eye steak,per kg",2,,,111111111111,,,,,,,,,,,,,Brand/Variety,Weight/Quant,Other1,Other2,Other3,,,,,, Home killed = any UK country inc. N. Ireland., Avoid organic if poss. Change = N," Ensure price entered is per kg, not per pack."," Do not price sirloin, fillet or frying steak.", Do not price unweighted packs.," If prepacked state size, min weight OK.",Other,Change in UK region ,,,,Other,Change in weight or size,Change between loose and prepacked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210413,"Home Killed Beef,Topside, per kg",2,,,111111111111,,,,,,,,,,,,,Brand/Variety,Weight/Quant,Other1,Other2,Other3,,,,,, Home killed = any UK country inc. N. Ireland.," Avoid organic, Change = N", MUST price per kg. Must say topside on," label/display/verbal, can also inc words toprump", and silverside. Do not price unweighted packs.," If prepacked state size, min weight OK.",Other,Change in UK region ,,,,Other,Change in weight or size,Change between loose and prepacked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210415,"Home killed beef, braising steak, per kg",2,,,111111111111,,,,,,,,,,,,,Brand/Variety,Weight/Quant,Other1,Other2,Other3,,,,,, Home killed=any UK country inc. N. Ireland, Packs MUST state braising steak," Ensure price entered is per kg, not per pack",Do not price stewing/rump steak or unweighted pks," If prepacked state size, min weight OK", Avoid organic if poss. Change = N,Other,Change in UK region,,,,Other,Change in weight or size,Change between loose and prepacked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210501,"Home Killed Lamb, Loin Chops with bone, per kg",2,,,111111111111,,,,,,,,,,,,,Brand/Variety,Weight/Quant,Other1,Other2,Other3,,,,,, Home killed = any UK country inc. N. Ireland., Avoid organic if poss. Change = N," Ensure price entered is per kg, not per pack.", Do not price cutlets/leg/shoulder chops., State number in pack.," If prepacked state size, min weight OK.",Other,Change in UK region,,,,Other,Change in weight or size,Change between loose and prepacked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210502,"Home Killed Lamb, Shoulder with bone, per kg",2,,,111111111111,,,,,,,,,,,,,Brand/Variety,Weight/Quant,Other1,Other2,Other3,,,,,, Home killed = any UK country inc. N. Ireland., Change to whole or half joint=N," Ensure price entered is per kg, not per pack", State whether half/whole shoulder & blade/knuckle," If prepacked state size, min weight OK", Avoid organic if poss. Change = N,Other,Change in UK region,,,,Other,Change in weight or size,Change between loose and prepacked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206,"F- MEAT- BACON, PORK & CHICKEN",1,,,111111111111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210703,"Home Killed Pork, Loin Chops with bone, per kg",2,,,111111111111,,,,,,,,,,,,,Brand/Variety,Weight/Quant,Other1,Other2,Other3,,,,,," No need for 'loin' or 'with bone' on packaging,", check with retailer if unsure," Ensure price entered is per KG,not per pack", Do not price cutlets or leg/shoulder chops, State loose/pre-packed & no in pack.Change=N," If prepacked state size, min weight OK.",Other,Change in region or country of origin,,,,Other,Change in weight or size,Change between loose and prepacked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210802,"Bacon, Gammon, per kg",2,,,111111111111,,,,,,,,,,,,,Brand/Variety,Weight/Quant,Loose/prepack,Other1,Other2,,,,,, Avoid organic if poss. Change = N.," State if smoked/unsmoked,Change=N"," State if gammon joint, steak or bacon"," State pre-packed or loose,switch between=N"," Ensure price entered is per KG,not per pack", Try not to switch between own-label & branded(N).,Other,Same or similar brand of same quality,,,,Other,"Change between branded/own-brand, or different quality brand",Change in weight or size,Change between loose and prepacked,Change between smoked/unsmoked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210808,"Bacon, Back, per kg",2,,,111111111111,,,,,,,,,,,,,Brand/Variety,Weight/Quant,Loose/prepack,Other1,Other2,,,,,, Avoid organic if poss. Change = N.," State if smoked/unsmoked,Change=N", Do not price flavoured bacon e.g. maple cured," State pre-packed or loose,Change=N"," Ensure price entered is per KG,not per pack", Try not to switch between own-label & branded(N),Other,Same or similar brand of same quality,,,,Other,"Change between branded/own-brand, or different quality brand",Change in weight or size,Change between loose and prepacked,Change between smoked/unsmoked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
